time,P,S,Fe2
0,0.080324826,0,0
10.5,0.075286709,0,0
21,0.051103745,0,0
31.5,0.03498177,0,0
42,0.025913159,0,0
52.5,0.019363606,0,0
63,0.012814054,0,0
73.5,0.00878356,0,0
84,0.005760689,0,0
94.5,0.006692341,0,0
105,0.00597347,0,0
115.5,0.005164741,0,0
126,0.00453573,0,0
136.5,0.004266153,0,0
147,0.003861789,0,0
157.5,0.003592212,0,0
168,0.003322636,0,0
178.5,0.002963201,0,0
189,0.002828412,0,0
199.5,0.002558836,0,0
210,0.002154472,0,0
220.5,0.001076166,0,0
231,0.001121095,0,0
241.5,0.001031237,0,0
252,0.000716731,0,0
262.5,0.000851519,0,0
273,0.00076166,0,0
283.5,0.000626872,0,0
294,0.000671801,0,0
304.5,0.001750107,0,0
315,0.000447154,0,0
325.5,0.000447154,0,0
336,0.000537013,0,0
346.5,0.000492084,0,0
357,0.000492084,0,0
367.5,0.000447154,0,0
378,0.000447154,0,0
388.5,0.000447154,0,0
399,0.000357296,0,0
409.5,0.000357296,0,0
420,0.000357296,0,0
430.5,0.000402225,0,0
