time,P,S,Fe2
0,0.010780916,0,0
10.5,0.015094138,0.119416055,0.006107537
21,0.015543432,0.041735771,0.007219225
31.5,0.015139067,0.019825947,0.0106284
42,0.015273855,0.019825947,0.013518788
52.5,0.015453573,0.019825947,0.014630475
63,0.014510056,0.019825947,0.016112725
73.5,0.013611468,0.025801354,0.017076188
84,0.013072315,0.023809552,0.017372638
94.5,0.01271288,0.03177676,0.017594975
105,0.012533162,0.039743969,0.017298525
115.5,0.011724433,0.045719375,0.016631513
126,0.011050492,0.037752167,0.016038613
136.5,0.010511339,0.045719375,0.015816275
147,0.009612751,0.037752167,0.0159645
157.5,0.009343175,0.037752167,0.015890388
168,0.00893881,0.041735771,0.016112725
178.5,0.008804022,0.045719375,0.016483288
189,0.008669234,0.04970298,0.016409175
199.5,0.00974754,0.047711177,0.017002075
210,0.008669234,0.047711177,0.016409175
220.5,0.008714163,0.045719375,0.016409175
231,0.008669234,0.053686584,0.016483288
241.5,0.008354728,0.05966199,0.016038613
252,0.008175011,0.057670188,0.015223375
262.5,0.008040223,0.065637397,0.015001038
273,0.008130081,0.065637397,0.013963463
283.5,0.007950364,0.067629199,0.013074113
294,0.007680787,0.051694782,0.012036537
304.5,0.007411211,0.061653792,0.011073075
315,0.007231493,0.075596407,0.009961387
325.5,0.00673727,0.131366868,0.0094426
336,0.005389388,0.209047151,0.009220262
346.5,0.003187848,0.392292949,0.008182687
357,0.002468977,0.553628922,0.006848662
367.5,0.002468977,0.627325602,0.0058852
378,0.001480531,0.782686169,0.004328837
388.5,0.001076166,0.900202495,0.003587712
399,0.001300813,0.868333661,0.002772475
409.5,0.000851519,0.948005747,0.002253687
420,0.00080659,0.993817196,0.00203135
430.5,0.00076166,1.033653239,0.001809012
441,0.00080659,1.089423699,0.00143845
451.5,0.000626872,1.240800662,0.001364337
